Num Reviews (Critics),Gross,Num voted users,Num Reviews (Users),Movie facebook likes
118,686383,22811,71,11000
415,5009677,260607,485,47000
158,2344847,18561,119,0
469,172051787,264183,665,30000
258,141614023,149922,438,0
469,172051787,264186,665,30000
100,172825435,383784,331,12000
221,183436380,97697,185,40000
349,161029270,119928,331,76000
493,171031347,240962,724,36000
119,183875760,213668,270,0
157,198655278,215340,706,16000
371,169076745,218711,485,27000
166,191796233,623757,391,0
238,80170146,243053,488,0
151,47592825,82731,255,0
140,67286731,67856,345,0
84,47474112,58227,181,2000
245,72660029,115687,269,21000
526,79711678,199039,479,82000
156,74158157,60370,264,0
106,73215310,44143,216,4000
192,54700065,221521,1049,0
235,66257002,350698,816,26000
82,50802661,58300,139,0
93,58220776,87785,362,0
202,66462600,141533,786,0
262,62647540,143525,657,0
492,58607007,182910,630,60000
107,84303558,65270,100,863
129,40041683,34620,107,0
149,41867960,65512,478,0
264,51527787,45603,268,0
61,46300000,29323,344,0
190,63270259,111087,319,0
323,47536959,86956,275,12000
129,48237389,63969,126,0
106,46338728,167750,506,10000
63,61693523,6276,55,16000
311,40990055,41509,300,0
52,37566230,3407,48,309
98,57469179,63855,248,0
61,42652003,18915,87,33000
18,54215416,21409,63,0
63,63071133,42892,154,0
311,40990055,41509,300,0
192,46836394,728685,989,25000
97,56127162,57479,205,0
112,46800000,76477,275,0
280,56437947,85333,421,0
49,44455658,36253,92,0
97,56127162,57479,205,0
287,55153403,299127,1509,0
543,54239856,125016,789,70000
81,40485039,85362,181,0
408,51533608,203111,755,32000
120,43800000,74249,276,0
77,39025000,73193,190,0
354,37707719,76094,233,37000
112,38916903,15664,149,0
197,45506619,225102,862,16000
58,52543632,12676,84,0
462,54322273,139749,509,29000
131,44886089,69576,207,2000
53,38168022,4687,83,290
113,44469602,23480,83,21000
287,55153403,299127,1509,0
94,58156435,37479,152,0
543,54239856,125016,789,70000
62,54800000,35130,283,0
238,42919096,64748,122,12000
110,43853424,35514,114,15000
111,37188667,34219,578,0
285,56715371,427357,1736,24000
90,48637684,16979,42,0
635,458991599,462669,1117,118000
338,65171860,106416,205,22000
244,93926386,168207,684,0
310,83640426,152826,253,19000
186,100289690,115099,257,2000
436,116593191,223393,550,24000
328,377019252,1215718,3189,16000
490,350123553,325264,916,112000
653,333130696,682155,1097,96000
451,334185206,306320,736,24000
300,373377893,411164,1303,0
653,333130696,682155,1097,96000
226,2208939,190490,482,26000
140,4535117,38398,368,0
152,8129455,89568,142,17000
292,7689458,126307,210,19000
78,9652000,46205,147,0
61,4777007,15130,98,565
76,5881504,5917,50,177
163,16640210,53028,382,0
158,19294901,26126,325,0
189,6565495,36455,229,0
376,12026670,114241,258,24000
115,22362500,35599,195,641
158,19294901,26126,325,0
105,18306166,28130,215,0
56,12065985,16260,88,296
135,13101142,23916,50,0
24,2154540,3803,41,68
108,7204138,34809,125,11000
258,18600911,125198,153,11000
186,6167817,62607,239,0
24,6448817,2189,31,0
90,10214013,23072,89,0
227,14998070,41170,298,0
74,16323969,45775,112,462
161,17281832,60232,110,0
156,24343673,91863,524,14000
186,6167817,62607,239,0
181,7605668,47320,188,12000
302,18593156,88682,241,0
12,24332324,13830,61,680
107,10654581,45497,260,1000
67,1027749,8087,33,1000
488,4563029,181472,514,58000
95,14378353,12375,194,846
112,7659747,14962,204,704
293,6105175,247020,835,50000
245,25450527,80196,190,0
79,20389967,3077,47,10000
178,10539414,45729,176,0
66,652526,20201,187,823
98,22108977,29861,132,505
163,16640210,53028,382,0
75,6471394,15880,93,288
66,652526,20201,187,823
209,27667947,86374,392,3000
95,14378353,12375,194,846
290,157299717,452928,1401,0
103,152149590,74274,255,0
193,176387405,328159,467,3000
142,172620724,146134,393,0
233,161317423,145321,139,14000
188,196573705,166791,132,0
193,176387405,328159,467,3000
166,155019340,127345,250,0
134,158115031,130070,316,0
495,202853933,321227,1067,41000
599,262030663,451803,1225,56000
495,202853933,321227,1067,41000
376,268488329,235025,265,44000
191,31990064,63390,160,0
112,15935068,19331,317,949
41,28734552,9566,81,1000
207,31597131,97938,605,0
22,23031390,4345,26,575
149,20772796,34232,346,0
111,22927390,25344,77,0
252,17605861,145580,351,0
98,23393765,31323,76,0
74,29302097,23408,105,810
197,27154426,52852,138,4000
16,15369573,2580,54,710
32,20400000,6304,87,403
23,16153600,8295,30,720
9,17382982,5975,33,0
233,17427926,60062,351,0
37,13903262,14656,90,0
30,33349949,9010,199,0
62,23978402,10966,100,365
186,16235293,19918,278,0
83,28873374,22161,68,0
35,20257000,7569,65,978
271,28747570,100571,416,0
132,16667084,90070,248,11000
220,33386128,36372,491,3000
351,31501218,84070,526,0
226,33565375,111351,568,0
89,20339754,23928,73,441
252,20433940,78883,662,0
98,23393765,31323,76,0
92,16017403,17333,153,0
162,23272306,740918,1182,28000
128,22905674,121676,290,0
94,23179303,32951,44,6000
417,21383298,187170,376,47000
112,23078294,25870,281,0
167,35143332,45102,316,0
91,16101109,76467,236,0
273,33583175,104089,319,16000
123,15126948,20815,335,0
58,13592872,10777,79,671
190,23993605,52467,248,0
417,21383298,187170,376,47000
171,25296447,237248,460,0
50,33451479,17068,215,0
44,36000000,9456,107,625
282,34334256,35131,255,16000
336,27689474,85688,339,23000
211,20338609,19655,280,683
164,26049082,76791,100,0
186,16235293,19918,278,0
155,24362501,69980,591,0
50,30127963,12596,64,0
181,27758465,77987,120,0
37,27362712,5971,60,0
108,21468807,13048,227,243
79,34099640,16651,149,0
181,15854988,36542,378,0
53,36500000,87090,142,0
138,30000000,43485,327,0
191,15417771,87494,540,0
256,26505000,149285,668,10000
151,30259652,26905,614,0
153,26384919,189032,560,0
161,15152879,13506,68,0
203,27285953,48675,214,16000
323,20803237,110616,291,16000
277,30859000,96410,826,0
159,22757819,13521,150,0
274,28637507,212167,713,0
148,20259297,24969,258,0
331,29959436,82327,350,18000
159,22757819,13521,150,0
287,128067808,217740,1641,0
106,109713132,61621,219,0
286,100292856,160418,296,16000
304,116631310,87665,323,41000
185,130727000,887467,916,40000
122,112692062,84325,205,0
75,102922376,51314,265,0
287,128067808,217740,1641,0
208,134821952,1155770,2238,43000
539,132088910,533607,692,117000
75,105500000,31260,152,0
185,130727000,887467,916,40000
669,106952327,551363,1140,106000
157,101978840,77724,162,26000
121,119500000,95294,363,12000
149,112000000,680041,760,32000
141,117235247,375240,542,0
340,117528646,353442,387,31000
245,139259759,364948,2121,0
280,131564731,118951,1382,18000
196,111505642,47900,130,11000
190,111110575,317166,928,0
490,144812796,362912,753,115000
362,123207194,183208,337,26000
94,146282411,190439,351,0
354,134518390,326286,643,0
154,113733726,67223,126,11000
118,39778599,176169,548,0
377,33048353,301279,589,12000
211,40559930,41727,184,0
49,36830057,10883,73,448
215,37035845,136680,149,13000
47,50024083,35918,126,1000
108,36976367,81611,274,0
371,31569268,172965,627,67000
81,60573641,68406,162,0
82,36037909,10132,130,390
60,51317350,78343,139,0
219,50807639,40883,122,11000
76,37901509,96385,119,0
241,54758461,147641,238,18000
196,53789313,89816,347,0
82,36037909,10132,130,390
209,28965197,133526,521,0
138,43060566,107859,569,0
197,37760080,72868,618,0
212,31165421,107028,457,44000
315,32741596,80140,323,16000
280,55637680,227071,1500,10000
313,50549107,99035,289,17000
117,38966057,23940,157,688
156,50150619,45580,102,18000
61,30306268,62981,84,0
123,33828318,44453,154,0
61,30306268,62981,84,0
134,32598931,49300,265,892
156,36385763,138941,1448,0
64,61355436,52136,184,0
171,48745150,50170,306,773
196,53789313,89816,347,0
81,50189179,61966,207,797
98,33643461,11257,65,0
79,14500000,25019,159,0
584,13303319,136367,975,39000
68,17174870,15817,210,0
45,6420319,15978,122,15000
126,11854694,14281,64,0
230,13034417,55665,118,10000
148,5887457,142416,420,0
29,8600000,17982,95,1000
202,13060843,149528,454,0
173,17529157,49888,220,25000
118,7486906,17436,71,0
111,5300000,221000,495,12000
218,5306447,58967,169,10000
165,6109075,32003,65,0
100,16779636,9338,167,209
223,4235837,175962,336,0
42,1075288,7772,55,145
38,6734844,29591,118,0
32,9975684,20033,117,679
93,7739049,10680,112,562
53,13019253,3914,47,153
584,13303319,136367,975,39000
273,3904982,136104,415,0
251,5459824,92781,320,5000
64,16930185,14315,101,201
30,7434726,14473,81,0
34,13801755,23928,100,0
61,10397365,11693,104,613
97,11614236,9294,140,251
85,5532301,21606,117,0
140,14888028,28606,262,0
276,958319,39764,148,17000
119,11008432,43903,194,5000
13,8500000,2061,34,501
45,12782508,20163,71,1000
32,13000000,10895,150,0
92,17718223,162067,316,0
107,15155772,8895,48,3000
97,11614236,9294,140,251
328,2412045,109873,320,33000
127,4476235,49405,226,2000
60,18252684,18366,219,0
11,8508843,7470,35,0
148,16027866,26767,121,0
116,4360548,13371,60,0
32,13000000,10895,150,0
124,7837632,46396,287,0
47,15911333,2855,119,663
180,11100000,92464,331,19000
97,14249005,39788,619,0
37,15062898,11729,106,645
208,15608545,53471,224,29000
84,15427192,11768,148,492
52,13973532,11211,92,215
128,3203044,25165,155,827
122,99462,11347,28,5000
160,8855646,49855,117,10000
297,13782838,258078,911,23000
165,6109075,32003,65,0
20,10070000,5668,50,491
49,5217498,3668,85,157
98,183125,36914,86,0
92,17718223,162067,316,0
81,10544143,16372,121,311
252,7219578,235992,1768,16000
76,8054280,6838,117,924
42,1075288,7772,55,145
297,13782838,258078,911,23000
95,630779,11101,159,633
97,11614236,9294,140,251
34,13801755,23928,100,0
169,9639242,16437,68,0
300,16204793,92712,294,6000
25,8000000,1400,41,346
160,14637490,16411,136,0
157,6855137,88590,419,0
36,18653615,14786,103,638
280,1697956,64944,212,6000
273,3904982,136104,415,0
16,15593,2295,40,284
42,4193025,30682,194,0
145,4930798,16268,108,0
337,252652,54104,199,38000
151,13987482,58957,91,0
308,3675072,190132,801,15000
99,13038660,16995,163,0
60,18252684,18366,219,0
42,10443316,7159,88,247
146,1190018,261317,1137,20000
94,234760500,126464,175,0
223,290158751,837759,900,17000
233,37899638,98472,492,0
128,27796042,45031,376,0
61,18318000,24868,216,964
62,6712451,4102,89,53
78,17010646,40751,239,881
106,22406362,16832,267,701
188,24004159,68722,191,0
435,36381716,197584,918,42000
242,33201661,534262,1314,39000
79,17593391,56403,376,0
212,40198710,87451,660,0
101,15131330,25843,64,941
61,11000000,21102,169,1000
266,35024475,110364,261,0
101,20950820,24183,160,665
221,233630478,394317,1051,23000
208,227965690,271592,2335,0
289,214948780,405973,1055,0
232,261970615,387616,858,0
141,279167575,211296,428,0
222,127706877,142496,399,0
238,117144465,256928,288,0
298,126149655,166693,276,19000
307,100448498,272789,285,25000
292,101530738,229574,436,56000
140,105807520,156717,357,0
183,118683135,102167,483,0
213,125603360,667983,877,18000
153,104354205,162331,332,0
75,119654900,182802,363,13000
140,105807520,156717,357,0
144,109993847,72326,116,0
358,98895417,203154,698,45000
143,100169068,16385,100,0
241,103338338,55901,503,0
121,108200000,76331,269,0
322,115603980,103589,351,35000
391,83813460,270238,452,19000
253,80050171,186982,491,0
61,72217000,216486,242,0
159,86049418,245989,554,0
100,94497271,17829,99,0
131,79566871,31760,140,0
181,84136909,267921,577,0
56,70492685,11600,64,7000
105,84300000,90360,147,0
181,84136909,267921,577,0
92,75597042,26434,174,0
110,76400000,58743,192,0
174,96067179,865020,1273,41000
174,96067179,865020,1273,41000
405,83299761,117719,306,39000
168,71500556,171568,571,0
181,84136909,267921,577,0
148,80276912,140740,151,0
218,86208010,97045,285,55000
454,91121452,467613,608,165000
250,87025093,188679,864,0
112,74888996,55513,188,0
148,84518155,35965,144,11000
99,76400000,71321,230,3000
72,70001698,76842,173,4000
82,91443253,21034,153,23000
105,84300000,90360,147,0
223,64998368,213898,250,36000
156,63992328,32399,79,0
132,21379315,17590,112,0
112,11905519,30210,214,0
166,32131830,72259,788,0
384,47375327,139593,720,44000
188,665426,120798,444,10000
231,47952020,37750,134,16000
314,65007045,128694,657,51000
165,177343675,70133,214,26000
165,177343675,70121,214,26000
165,177343675,70136,214,26000
167,179982968,146019,119,0
165,177343675,70136,214,26000
400,167007184,470483,2301,0
211,216366733,119213,154,17000
521,208543795,317542,620,45000
108,50300000,68565,300,0
459,72306065,178118,355,55000
117,60984028,259519,431,11000
122,49968653,85423,374,12000
70,54967359,52805,209,0
125,70405498,113472,442,0
140,50173190,148490,537,0
49,61490000,62037,148,0
161,55808744,59435,323,0
170,60443237,76882,106,29000
214,63411478,114925,234,13000
16,49851591,7900,34,263
177,55291815,28041,111,0
341,53082743,844052,1100,49000
16,49851591,7900,34,263
175,52320979,114321,548,0
339,47307550,104301,269,28000
452,66359959,184641,326,81000
69,70960517,54631,192,0
206,62318875,156225,502,0
118,57887882,35508,211,0
165,60470220,81444,192,955
95,60000000,49934,224,0
112,62300000,72085,263,2000
83,57011847,20615,44,0
61,48169908,63923,156,0
210,55473600,207686,776,0
73,53300852,154487,259,0
596,54116191,272839,1018,114000
222,63910583,106755,173,27000
154,63034755,16984,96,0
253,62877175,217507,325,0
358,50815288,109188,625,0
49,58422650,78974,173,8000
196,54414716,114294,187,12000
129,71026631,98899,394,0
366,148085755,561773,871,28000
238,143704210,145974,611,10000
321,127997349,101178,779,90000
358,139852971,238671,461,63000
80,139225854,34561,116,1000
275,134455175,97664,232,17000
366,148085755,561773,871,28000
121,132541238,30058,236,800
96,150415432,117606,217,0
55,135014968,80580,375,0
